Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300572.2243917,35.61328125,27.7734375,55.75,0.3,192,438
1732300572.2745035,35.61328125,27.7734375,55.81,0.3,192,439
1732300572.3246925,35.61328125,27.7734375,55.85,0.3,192,440
1732300572.3747623,35.61328125,27.7734375,55.91,0.3,192,441
1732300572.4249933,35.61328125,27.7734375,55.96,0.3,192,442
1732300572.475015,35.61328125,27.7734375,56.01,0.3,192,443
1732300572.5251708,35.61328125,27.7734375,56.06,0.3,192,444
1732300572.5753064,35.61328125,27.7734375,56.11,0.3,192,445
1732300572.6254418,35.61328125,27.7734375,56.16,0.3,192,446
1732300572.675546,35.61328125,27.7734375,56.21,0.3,192,448
1732300572.7256665,35.61328125,27.7734375,56.26,0.3,192,449
1732300572.7757602,35.61328125,27.7734375,56.31,0.3,192,450
1732300572.8259003,35.61328125,27.7734375,56.36,0.3,192,451
1732300572.8760462,35.61328125,27.7734375,56.41,0.3,192,452
1732300572.9261494,35.61328125,27.7734375,56.46,0.3,192,452
1732300572.9763012,35.61328125,27.7734375,56.51,0.3,192,453
1732300573.026374,35.61328125,27.7734375,56.56,0.3,192,454
1732300573.0766456,35.61328125,27.7734375,56.61,0.3,192,455
1732300573.1266894,35.61328125,27.7734375,56.66,0.3,192,456
1732300573.1767952,35.61328125,27.7734375,56.71,0.3,192,457
1732300573.2269297,35.61328125,27.7734375,56.76,0.3,192,457
1732300573.2770689,35.61328125,27.7734375,56.81,0.3,192,458
1732300573.3271797,35.61328125,27.7734375,56.86,0.3,192,459
1732300573.3773181,35.61328125,27.7734375,56.91,0.3,192,460
1732300573.4274402,35.61328125,27.7734375,56.96,0.3,192,461
1732300573.47758,35.61328125,27.7734375,57.01,0.3,192,462
1732300573.5277123,35.61328125,27.7734375,57.06,0.3,192,463
1732300573.5778236,35.61328125,27.7734375,57.11,0.3,192,464
1732300573.6279523,35.61328125,27.7734375,57.16,0.3,192,465
1732300573.67812,35.61328125,27.7734375,57.21,0.3,192,466
1732300573.7282364,35.61328125,27.7734375,57.26,0.3,192,467
1732300573.7783127,35.61328125,27.7734375,57.31,0.3,192,468
1732300573.8284607,35.61328125,27.7734375,57.36,0.3,192,469
1732300573.8786132,35.61328125,27.7734375,57.41,0.3,192,470
1732300573.9288235,35.61328125,27.7734375,57.46,0.3,192,470
1732300573.9786844,35.61328125,27.7734375,57.51,0.3,192,471
1732300574.0290236,35.61328125,27.7734375,57.57,0.3,192,472
1732300574.0791445,35.61328125,27.7734375,57.61,0.3,192,473
1732300574.129279,35.61328125,27.7734375,57.67,0.3,192,474
1732300574.179371,35.61328125,27.7734375,57.71,0.3,192,475
1732300574.2294502,35.61328125,27.7734375,57.77,0.3,192,476
1732300574.2796097,35.61328125,27.7734375,57.81,0.3,192,476
1732300574.3297346,35.61328125,27.7734375,57.87,0.3,192,477
1732300574.3798485,35.61328125,27.7734375,57.91,0.3,192,478
1732300574.429946,35.61328125,27.7734375,57.97,0.3,192,479
1732300574.480081,35.61328125,27.7734375,58.01,0.3,192,480
1732300574.5302243,35.61328125,27.7734375,58.07,0.3,192,482
1732300574.580347,35.61328125,27.7734375,58.11,0.3,192,482
1732300574.6304593,35.61328125,27.7734375,58.17,0.3,192,483
1732300574.6806386,35.61328125,27.7734375,58.21,0.3,192,484
1732300574.730723,35.61328125,27.7734375,58.27,0.3,192,485
1732300574.7808337,35.61328125,27.7734375,58.32,0.3,192,486
1732300574.8308115,35.61328125,27.7734375,58.37,0.3,192,487
1732300574.88125,35.61328125,27.7734375,58.42,0.3,192,488
1732300574.9332173,35.61328125,27.7734375,58.47,0.3,192,488
1732300574.983225,35.61328125,27.7734375,58.52,0.3,192,489
1732300575.0334203,35.61328125,27.7734375,58.57,0.3,192,490
1732300575.083582,35.61328125,27.7734375,58.62,0.3,192,491
1732300575.1336832,35.61328125,27.7734375,58.67,0.3,192,492
1732300575.1837845,35.61328125,27.7734375,58.72,0.3,192,493
1732300575.2338648,35.61328125,27.7734375,58.77,0.3,192,493
1732300575.2840312,35.61328125,27.7734375,58.82,0.3,192,494
1732300575.334157,35.61328125,27.7734375,58.87,0.3,192,495
1732300575.3842688,35.61328125,27.7734375,58.92,0.3,192,496
1732300575.4343524,35.61328125,27.7734375,58.97,0.3,192,497
1732300575.4843743,35.61328125,27.7734375,59.02,0.3,192,498
1732300575.5347788,35.61328125,27.7734375,59.07,0.3,192,500
1732300575.584991,35.61328125,27.7734375,59.13,0.3,192,500
1732300575.6350136,35.61328125,27.7734375,59.17,0.3,192,501
1732300575.6851604,35.61328125,27.7734375,59.23,0.3,192,504
1732300575.7353058,35.61328125,27.7734375,59.28,0.3,192,516
1732300575.7854033,35.61328125,27.7734375,59.32,0.3,192,534
1732300575.8355463,35.61328125,27.7734375,59.36,0.3,192,556
1732300575.8858335,35.61328125,27.7734375,59.42,0.3,192,569
1732300575.9360049,35.61328125,27.7734375,59.46,0.3,192,573
1732300575.9861252,35.61328125,27.7734375,59.52,0.3,192,574
1732300576.036032,35.61328125,27.7734375,59.56,0.31,192,575
1732300576.086301,35.61328125,27.7734375,59.61,0.31,192,576
1732300576.136404,35.61328125,27.7734375,59.66,0.31,192,577
1732300576.1865442,35.61328125,27.7734375,59.71,0.31,192,578
1732300576.2366953,35.61328125,27.7734375,59.75,0.31,192,579
1732300576.2868147,35.61328125,27.7734375,59.81,0.31,192,579
1732300576.3370519,35.61328125,27.7734375,59.85,0.32,192,580
1732300576.3870816,35.61328125,27.7734375,59.9,0.32,192,581
1732300576.4372063,35.61328125,27.7734375,59.95,0.32,192,582
1732300576.4872994,35.61328125,27.7734375,60.0,0.32,192,583
1732300576.5374513,35.61328125,27.7734375,60.05,0.32,192,585
1732300576.587597,35.61328125,27.7734375,60.1,0.32,192,586
1732300576.6376686,35.61328125,27.7734375,60.15,0.32,192,586
1732300576.6878173,35.61328125,27.7734375,60.2,0.32,192,587
1732300576.7379563,35.61328125,27.7734375,60.25,0.32,192,588
1732300576.788023,35.61328125,27.7734375,60.3,0.32,192,591
1732300576.8381338,35.61328125,27.7734375,60.35,0.33,192,592
1732300576.8883424,35.61328125,27.7734375,60.39,0.33,192,593
1732300576.9384103,35.61328125,27.7734375,60.45,0.33,192,594
1732300576.988604,35.61328125,27.7734375,60.49,0.33,192,594
1732300577.038643,35.61328125,27.7734375,60.55,0.33,192,595
1732300577.088858,35.61328125,27.7734375,60.59,0.33,192,596
1732300577.1389053,35.61328125,27.7734375,60.65,0.33,192,597
1732300577.1890798,35.61328125,27.7734375,60.7,0.33,192,598
